Name,Pclass,Sex,SibSp,Parch,Embarked,Survived
"Braund, Mr. Owen Harris",3,male,1,0,S,0
"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",1,female,1,0,C,1
"Heikkinen, Miss. Laina",3,female,0,0,S,1
"Futrelle, Mrs. Jacques Heath (Lily May Peel)",1,female,1,0,S,1
"Allen, Mr. William Henry",3,male,0,0,S,0
"Moran, Mr. James",3,male,0,0,Q,0
"McCarthy, Mr. Timothy J",1,male,0,0,S,0
"Palsson, Master. Gosta Leonard",3,male,3,1,S,0
"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",3,female,0,2,S,1
"Nasser, Mrs. Nicholas (Adele Achem)",2,female,1,0,C,1
"Sandstrom, Miss. Marguerite Rut",3,female,1,1,S,1
"Bonnell, Miss. Elizabeth",1,female,0,0,S,1
"Saundercock, Mr. William Henry",3,male,0,0,S,0
"Andersson, Mr. Anders Johan",3,male,1,5,S,0
"Vestrom, Miss. Hulda Amanda Adolfina",3,female,0,0,S,0
"Hewlett, Mrs. (Mary D Kingcome) ",2,female,0,0,S,1
"Rice, Master. Eugene",3,male,4,1,Q,0
"Williams, Mr. Charles Eugene",2,male,0,0,S,1
"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",3,female,1,0,S,0
"Masselmani, Mrs. Fatima",3,female,0,0,C,1
"Fynney, Mr. Joseph J",2,male,0,0,S,0
"Beesley, Mr. Lawrence",2,male,0,0,S,1
"McGowan, Miss. Anna ""Annie""",3,female,0,0,Q,1
"Sloper, Mr. William Thompson",1,male,0,0,S,1
"Palsson, Miss. Torborg Danira",3,female,3,1,S,0
"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",3,female,1,5,S,1
"Emir, Mr. Farred Chehab",3,male,0,0,C,0
"Fortune, Mr. Charles Alexander",1,male,3,2,S,0
"O'Dwyer, Miss. Ellen ""Nellie""",3,female,0,0,Q,1
"Todoroff, Mr. Lalio",3,male,0,0,S,0
"Uruchurtu, Don. Manuel E",1,male,0,0,C,0
"Spencer, Mrs. William Augustus (Marie Eugenie)",1,female,1,0,C,1
"Glynn, Miss. Mary Agatha",3,female,0,0,Q,1
"Wheadon, Mr. Edward H",2,male,0,0,S,0
"Meyer, Mr. Edgar Joseph",1,male,1,0,C,0
"Holverson, Mr. Alexander Oskar",1,male,1,0,S,0
"Mamee, Mr. Hanna",3,male,0,0,C,1
"Cann, Mr. Ernest Charles",3,male,0,0,S,0
"Vander Planke, Miss. Augusta Maria",3,female,2,0,S,0
"Nicola-Yarred, Miss. Jamila",3,female,1,0,C,1
"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",3,female,1,0,S,0
"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",2,female,1,0,S,0
"Kraeff, Mr. Theodor",3,male,0,0,C,0
"Laroche, Miss. Simonne Marie Anne Andree",2,female,1,2,C,1
"Devaney, Miss. Margaret Delia",3,female,0,0,Q,1
"Rogers, Mr. William John",3,male,0,0,S,0
"Lennon, Mr. Denis",3,male,1,0,Q,0
"O'Driscoll, Miss. Bridget",3,female,0,0,Q,1
"Samaan, Mr. Youssef",3,male,2,0,C,0
"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",3,female,1,0,S,0
"Panula, Master. Juha Niilo",3,male,4,1,S,0
"Nosworthy, Mr. Richard Cater",3,male,0,0,S,0
"Harper, Mrs. Henry Sleeper (Myna Haxtun)",1,female,1,0,C,1
"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",2,female,1,0,S,1
"Ostby, Mr. Engelhart Cornelius",1,male,0,1,C,0
"Woolner, Mr. Hugh",1,male,0,0,S,1
"Rugg, Miss. Emily",2,female,0,0,S,1
"Novel, Mr. Mansouer",3,male,0,0,C,0
"West, Miss. Constance Mirium",2,female,1,2,S,1
"Goodwin, Master. William Frederick",3,male,5,2,S,0
"Sirayanian, Mr. Orsen",3,male,0,0,C,0
"Icard, Miss. Amelie",1,female,0,0,,1
"Harris, Mr. Henry Birkhardt",1,male,1,0,S,0
"Skoog, Master. Harald",3,male,3,2,S,0
"Stewart, Mr. Albert A",1,male,0,0,C,0
"Moubarek, Master. Gerios",3,male,1,1,C,1
"Nye, Mrs. (Elizabeth Ramell)",2,female,0,0,S,1
"Crease, Mr. Ernest James",3,male,0,0,S,0
"Andersson, Miss. Erna Alexandra",3,female,4,2,S,1
"Kink, Mr. Vincenz",3,male,2,0,S,0
"Jenkin, Mr. Stephen Curnow",2,male,0,0,S,0
"Goodwin, Miss. Lillian Amy",3,female,5,2,S,0
"Hood, Mr. Ambrose Jr",2,male,0,0,S,0
"Chronopoulos, Mr. Apostolos",3,male,1,0,C,0
"Bing, Mr. Lee",3,male,0,0,S,1
"Moen, Mr. Sigurd Hansen",3,male,0,0,S,0
"Staneff, Mr. Ivan",3,male,0,0,S,0
"Moutal, Mr. Rahamin Haim",3,male,0,0,S,0
"Caldwell, Master. Alden Gates",2,male,0,2,S,1
"Dowdell, Miss. Elizabeth",3,female,0,0,S,1
"Waelens, Mr. Achille",3,male,0,0,S,0
"Sheerlinck, Mr. Jan Baptist",3,male,0,0,S,1
"McDermott, Miss. Brigdet Delia",3,female,0,0,Q,1
"Carrau, Mr. Francisco M",1,male,0,0,S,0
"Ilett, Miss. Bertha",2,female,0,0,S,1
"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",3,female,3,0,S,1
"Ford, Mr. William Neal",3,male,1,3,S,0
"Slocovski, Mr. Selman Francis",3,male,0,0,S,0
"Fortune, Miss. Mabel Helen",1,female,3,2,S,1
"Celotti, Mr. Francesco",3,male,0,0,S,0
"Christmann, Mr. Emil",3,male,0,0,S,0
"Andreasson, Mr. Paul Edvin",3,male,0,0,S,0
"Chaffee, Mr. Herbert Fuller",1,male,1,0,S,0
"Dean, Mr. Bertram Frank",3,male,1,2,S,0
"Coxon, Mr. Daniel",3,male,0,0,S,0
"Shorney, Mr. Charles Joseph",3,male,0,0,S,0
"Goldschmidt, Mr. George B",1,male,0,0,C,0
"Greenfield, Mr. William Bertram",1,male,0,1,C,1
"Doling, Mrs. John T (Ada Julia Bone)",2,female,0,1,S,1
"Kantor, Mr. Sinai",2,male,1,0,S,0
"Petranec, Miss. Matilda",3,female,0,0,S,0
"Petroff, Mr. Pastcho (""Pentcho"")",3,male,0,0,S,0
"White, Mr. Richard Frasar",1,male,0,1,S,0
"Johansson, Mr. Gustaf Joel",3,male,0,0,S,0
"Gustafsson, Mr. Anders Vilhelm",3,male,2,0,S,0
"Mionoff, Mr. Stoytcho",3,male,0,0,S,0
"Salkjelsvik, Miss. Anna Kristine",3,female,0,0,S,1
"Moss, Mr. Albert Johan",3,male,0,0,S,1
"Rekic, Mr. Tido",3,male,0,0,S,0
"Moran, Miss. Bertha",3,female,1,0,Q,1
"Porter, Mr. Walter Chamberlain",1,male,0,0,S,0
"Zabour, Miss. Hileni",3,female,1,0,C,0
"Barton, Mr. David John",3,male,0,0,S,0
"Jussila, Miss. Katriina",3,female,1,0,S,0
"Attalah, Miss. Malake",3,female,0,0,C,0
"Pekoniemi, Mr. Edvard",3,male,0,0,S,0
"Connors, Mr. Patrick",3,male,0,0,Q,0
"Turpin, Mr. William John Robert",2,male,1,0,S,0
"Baxter, Mr. Quigg Edmond",1,male,0,1,C,0
"Andersson, Miss. Ellis Anna Maria",3,female,4,2,S,0
"Hickman, Mr. Stanley George",2,male,2,0,S,0
"Moore, Mr. Leonard Charles",3,male,0,0,S,0
"Nasser, Mr. Nicholas",2,male,1,0,C,0
"Webber, Miss. Susan",2,female,0,0,S,1
"White, Mr. Percival Wayland",1,male,0,1,S,0
"Nicola-Yarred, Master. Elias",3,male,1,0,C,1
"McMahon, Mr. Martin",3,male,0,0,Q,0
"Madsen, Mr. Fridtjof Arne",3,male,0,0,S,1
"Peter, Miss. Anna",3,female,1,1,C,1
"Ekstrom, Mr. Johan",3,male,0,0,S,0
"Drazenoic, Mr. Jozef",3,male,0,0,C,0
"Coelho, Mr. Domingos Fernandeo",3,male,0,0,S,0
"Robins, Mrs. Alexander A (Grace Charity Laury)",3,female,1,0,S,0
"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",2,female,1,0,S,1
"Sobey, Mr. Samuel James Hayden",2,male,0,0,S,0
"Richard, Mr. Emile",2,male,0,0,C,0
"Newsom, Miss. Helen Monypeny",1,female,0,2,S,1
"Futrelle, Mr. Jacques Heath",1,male,1,0,S,0
"Osen, Mr. Olaf Elon",3,male,0,0,S,0
"Giglio, Mr. Victor",1,male,0,0,C,0
"Boulos, Mrs. Joseph (Sultana)",3,female,0,2,C,0
"Nysten, Miss. Anna Sofia",3,female,0,0,S,1
